net,length_um
INSTR_STREAM[27],29.68µm
_1284_,29.58µm
REG_DEST\[1\],29.57µm
_1644_,29.46µm
_1038_,29.4µm
_1189_,29.3µm
_1609_,29.28µm
_2297_,29.22µm
REG_FILE\[11\]\[0\],29.1µm
_1691_,29.06µm
REG_FILE\[13\]\[9\],29.04µm
_2154_,28.9µm
INSTR_STREAM[26],28.9µm
REG_FILE\[5\]\[3\],28.86µm
REG_FILE\[12\]\[7\],28.84µm
_1451_,28.82µm
_1983_,28.78µm
INSTR_STREAM[31],28.76µm
_1160_,28.62µm
_1739_,28.62µm
JMP_DEST\[15\],28.36µm
REG_FILE\[1\]\[11\],28.32µm
REG_FILE\[1\]\[12\],28.27µm
RESULT_SYS\[5\],28.27µm
_1628_,28.26µm
_1720_,28.12µm
_2196_,28µm
_0554_,27.9µm
_0787_,27.9µm
INSTR\[17\],27.86µm
INSTR_STREAM[29],27.84µm
_0779_,27.78µm
INSTR\[16\],27.77µm
RESULT_ALU\[11\],27.75µm
_0620_,27.74µm
REG_FILE\[14\]\[10\],27.72µm
REG_FILE\[3\]\[8\],27.68µm
_1834_,27.68µm
MEM_LD_DATA[7],27.68µm
REG_FILE\[0\]\[3\],27.62µm
_0627_,27.56µm
REG_FILE\[8\]\[8\],27.47µm
_0485_,27.44µm
REG_FILE\[12\]\[9\],27.4µm
REG_FILE\[8\]\[15\],27.36µm
_0155_,27.305µm
REG_FILE\[12\]\[0\],27.3µm
_1077_,27.3µm
REG_FILE\[6\]\[8\],27.26µm
_0435_,27.22µm
_1301_,27.2µm
REG_FILE\[11\]\[2\],27.16µm
MAIN_LDH,27.14µm
_1610_,27.1µm
REG_FILE\[6\]\[9\],27.02µm
_0451_,27.02µm
_0689_,27.02µm
_1922_,26.9µm
_2164_,26.9µm
_1194_,26.86µm
_1300_,26.86µm
REG_FILE\[8\]\[4\],26.81µm
_1485_,26.78µm
_1263_,26.76µm
_1340_,26.54µm
REG_FILE\[11\]\[8\],26.52µm
_1475_,26.48µm
RESULT_SYS\[9\],26.39µm
_1298_,26.32µm
JMP_DEST\[13\],26.265µm
REG_FILE\[12\]\[4\],26.24µm
_1510_,26.22µm
REG_FILE\[13\]\[7\],26.16µm
REG_FILE\[9\]\[9\],26.12µm
_1694_,26.06µm
_1663_,25.96µm
_1491_,25.88µm
REG_FILE\[12\]\[12\],25.86µm
REG_FILE\[7\]\[11\],25.8µm
DEVICES_LDH,25.74µm
REG_FILE\[13\]\[3\],25.7µm
REG_FILE\[5\]\[15\],25.68µm
INSTR_ADDR[15],25.66µm
_1338_,25.64µm
_2103_,25.64µm
REG_FILE\[0\]\[6\],25.62µm
_1310_,25.57µm
_0643_,25.56µm
MEM_LD_DATA[15],25.38µm
_1979_,25.16µm
_2265_,25.145µm
REG_FILE\[10\]\[9\],25.14µm
_0777_,25.12µm
REG_FILE\[8\]\[9\],25.11µm
INSTR_STREAM[25],25µm
_1554_,24.94µm
_0709_,24.92µm
_1593_,24.9µm
_1642_,24.88µm
REG_FILE\[5\]\[11\],24.85µm
REG_FILE\[1\]\[10\],24.72µm
_0712_,24.68µm
REG_FILE\[12\]\[3\],24.66µm
DEVICES_STRH,24.58µm
INSTR_STREAM[24],24.46µm
INSTR\[22\],24.44µm
REG_FILE\[5\]\[4\],24.44µm
REG_FILE\[11\]\[12\],24.42µm
REG_FILE\[6\]\[15\],24.42µm
_1248_,24.42µm
_1382_,24.42µm
REG_FILE\[3\]\[1\],24.36µm
_1666_,24.34µm
_1896_,24.34µm
_0868_,24.22µm
_1272_,24.22µm
_0513_,24.2µm
REG_FILE\[14\]\[2\],24.16µm
REG_FILE\[10\]\[0\],24.1µm
_1190_,24.04µm
REG_FILE\[3\]\[12\],24µm
net34,23.965µm
MAIN_STRH,23.94µm
MEM_LD_DATA[9],23.92µm
_0449_,23.82µm
_2270_,23.78µm
REG_FILE\[6\]\[2\],23.74µm
_1775_,23.66µm
INSTR_ADDR[3],23.65µm
REG_FILE\[14\]\[14\],23.62µm
REG_FILE\[3\]\[4\],23.62µm
REG_FILE\[6\]\[3\],23.62µm
_1072_,23.56µm
_0101_,23.545µm
REG_FILE\[9\]\[14\],23.5µm
REG_FILE\[8\]\[6\],23.48µm
MEM_LD_DATA[4],23.46µm
_1780_,23.44µm
REG_FILE\[2\]\[6\],23.38µm
REG_FILE\[7\]\[9\],23.3µm
_0728_,23.28µm
MEM_ADDR[14],23.28µm
REG_FILE\[10\]\[2\],23.26µm
_1207_,23.24µm
REG_FILE\[7\]\[4\],23.22µm
_0545_,23.18µm
INSTR_STREAM[2],23.17µm
INSTR_STREAM[30],23.16µm
_1923_,23.13µm
_1402_,23.12µm
_2380_,23.08µm
net20,23µm
REG_FILE\[8\]\[12\],23µm
RESULT_SYS\[4\],22.99µm
_0902_,22.9µm
INSTR_ADDR[8],22.9µm
REG_FILE\[12\]\[1\],22.86µm
_1486_,22.84µm
_0697_,22.82µm
REG_FILE\[11\]\[3\],22.8µm
REG_FILE\[8\]\[3\],22.78µm
REG_FILE\[13\]\[4\],22.76µm
net42,22.735µm
INSTR_ADDR[4],22.73µm
RESULT_ALU\[6\],22.71µm
REG_FILE\[5\]\[9\],22.7µm
REG_FILE\[9\]\[15\],22.64µm
_2014_,22.605µm
_1501_,22.6µm
REG_FILE\[1\]\[5\],22.58µm
REG_FILE\[3\]\[7\],22.54µm
net17,22.52µm
REG_FILE\[11\]\[9\],22.52µm
INSTR_ADDR[9],22.52µm
_0600_,22.5µm
_1965_,22.5µm
INSTR_STREAM[19],22.49µm
MEM_LD_DATA[5],22.49µm
_1951_,22.48µm
MAIN_LDW,22.44µm
REG_FILE\[9\]\[7\],22.42µm
_1800_,22.4µm
DEVICES_LDW,22.4µm
REG_FILE\[3\]\[14\],22.38µm
_0792_,22.355µm
INSTR_STREAM[16],22.35µm
MEM_LD_DATA[14],22.32µm
REG_FILE\[5\]\[6\],22.28µm
_1256_,22.28µm
REG_FILE\[0\]\[15\],22.24µm
_1238_,22.2µm
REG_FILE\[13\]\[0\],22.18µm
_0844_,22.18µm
_0883_,22.18µm
REG_COND\[8\],22.1µm
INSTR_STREAM[18],22.09µm
REG_FILE\[0\]\[10\],22.08µm
REG_FILE\[13\]\[2\],22.08µm
REG_FILE\[14\]\[11\],22.06µm
_0742_,22.06µm
_1231_,22.06µm
_1563_,22.06µm
_2370_,22.04µm
REG_FILE\[6\]\[11\],22.01µm
INSTR_ADDR[7],21.98µm
_1142_,21.96µm
_2065_,21.96µm
REG_FILE\[11\]\[15\],21.94µm
INSTR_ADDR[12],21.94µm
REG_FILE\[10\]\[7\],21.92µm
REG_FILE\[1\]\[3\],21.9µm
REG_FILE\[14\]\[3\],21.88µm
REG_FILE\[9\]\[1\],21.8µm
_0525_,21.8µm
_2322_,21.78µm
_0517_,21.73µm
_1837_,21.7µm
REG_FILE\[1\]\[15\],21.66µm
REG_FILE\[10\]\[15\],21.64µm
_1123_,21.64µm
INSTR_ADDR[5],21.64µm
_1734_,21.5µm
REG_FILE\[3\]\[9\],21.49µm
_0482_,21.48µm
_0736_,21.48µm
REG_FILE\[11\]\[4\],21.46µm
REG_FILE\[2\]\[3\],21.46µm
REG_FILE\[13\]\[13\],21.4µm
MEM_LD_DATA[3],21.4µm
_0624_,21.38µm
_1368_,21.3µm
REG_FILE\[7\]\[7\],21.24µm
_2053_,21.16µm
_1931_,21.12µm
_1580_,21.08µm
REG_FILE\[7\]\[1\],21.06µm
_1968_,21.06µm
_2400_,21µm
INSTR_ADDR[2],20.99µm
REG_FILE\[9\]\[6\],20.94µm
net99,20.9µm
REG_FILE\[12\]\[8\],20.9µm
_2098_,20.9µm
REG_FILE\[14\]\[7\],20.88µm
REG_FILE\[13\]\[15\],20.86µm
INSTR_STREAM[1],20.85µm
REG_FILE\[4\]\[5\],20.82µm
INSTR_ADDR[10],20.82µm
_1765_,20.8µm
INSTR_STREAM[12],20.78µm
REG_FILE\[8\]\[7\],20.72µm
_1086_,20.72µm
_2319_,20.72µm
_1810_,20.66µm
net4,20.64µm
REG_FILE\[0\]\[5\],20.64µm
REG_FILE\[12\]\[15\],20.6µm
REG_FILE\[3\]\[11\],20.58µm
REG_FILE\[1\]\[13\],20.54µm
REG_FILE\[9\]\[10\],20.54µm
INSTR_ADDR[0],20.51µm
_0693_,20.46µm
MEM_STR_DATA[9],20.45µm
REG_FILE\[1\]\[6\],20.44µm
_2296_,20.385µm
_1736_,20.34µm
_0537_,20.32µm
_0593_,20.28µm
_0510_,20.22µm
MAIN_STRW,20.22µm
MEM_ADDR[11],20.22µm
MEM_ADDR[7],20.22µm
REG_COND\[5\],20.2µm
_1281_,20.06µm
REG_FILE\[2\]\[10\],20.05µm
_2043_,20.05µm
RESULT_MEM\[7\],20.025µm
REG_FILE\[14\]\[0\],20.02µm
_1067_,19.98µm
REG_FILE\[7\]\[2\],19.94µm
_1143_,19.94µm
REG_FILE\[5\]\[10\],19.86µm
INSTR_STREAM[9],19.86µm
MEM_LD_DATA[0],19.86µm
_0462_,19.83µm
REG_FILE\[13\]\[14\],19.82µm
REG_FILE\[4\]\[2\],19.82µm
_2091_,19.82µm
STREAM_WRITE_DEST,19.8µm
_0441_,19.765µm
REG_FILE\[6\]\[5\],19.76µm
_1808_,19.76µm
net100,19.74µm
_2187_,19.74µm
INVALID_MEM,19.68µm
MEM_ADDR[12],19.68µm
REG_FILE\[4\]\[15\],19.67µm
REG_FILE\[14\]\[12\],19.62µm
_0656_,19.62µm
_0750_,19.62µm
_1397_,19.6µm
MEM_LD_DATA[11],19.56µm
REG_FILE\[9\]\[12\],19.54µm
STATE\[5\],19.54µm
REG_FILE\[10\]\[10\],19.48µm
REG_FILE\[10\]\[14\],19.48µm
REG_FILE\[9\]\[2\],19.48µm
REG_FILE\[13\]\[8\],19.46µm
_0489_,19.46µm
_2113_,19.46µm
REG_FILE\[3\]\[15\],19.44µm
_1753_,19.4µm
_0788_,19.38µm
REG_FILE\[13\]\[5\],19.36µm
_2393_,19.36µm
REG_FILE\[12\]\[5\],19.34µm
net35,19.335µm
REG_COND\[12\],19.3µm
_1908_,19.29µm
REG_FILE\[9\]\[13\],19.28µm
_2300_,19.28µm
_1007_,19.22µm
